CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
02.558.157/0001-62;2025-12-31;3;149491;TELEFÔNICA BRASIL S.A;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;21676379.47;3617682.18;9648821.97;O valor da maior remuneração individual do órgão foi apurado sem qualquer exclusão, considerando todas as remunerações reconhecidas no resultado (o valor representa 12 meses exercidos pelo membro)O valor da menor remuneração individual do órgão foi apurado com a exclusão de todos os membros que exerceram o cargo por menos de 12 mesesO valor médio da remuneração individual do órgão é calculado pelo total da remuneração, conforme reportado no item 8.2 do Formulário de Referência, dividido pelo número de membros remunerados.
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;1.00;0.00;0.00;0.00;0.00;Em razão da situação pré-operacional da Companhia, os membros abdicaram da remuneração.
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;Em razão da situação pré-operacional da Companhia, os membros abdicaram da remuneração.
02.591.787/0001-39;2025-12-31;1;145992;CAPITALPART PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2023-04-01;2024-03-31;Conselho Fiscal;3.00;3.00;72430.00;72430.00;72430.00;Foi considerado ano safra (abril/2023 a março/2024) para manter a coerência com o item 8.2
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2023-04-01;2024-03-31;Diretoria Estatutária;4.00;4.00;1927484.37;1548040.05;1668688.54;Foi considerado ano safra (abril/2023 a março/2024) para manter a coerência com o item 8.2
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2023-04-01;2024-03-31;Conselho de Administração;7.00;6.00;696000.00;318000.00;415000.00;Foi considerado ano safra (abril/2023 a março/2024) para manter a coerência com o item 8.2
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2022-04-01;2023-03-31;Diretoria Estatutária;4.00;4.00;1692694.20;1254823.84;1385548.20;Foi considerado ano safra (abril/2022 a março/2023) para manter a coerência com o item 8.2
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2022-04-01;2023-03-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2022-04-01;2023-03-31;Conselho de Administração;7.00;6.00;696000.00;318000.00;415000.00;Foi considerado ano safra (abril/2022 a março/2023) para manter a coerência com o item 8.2
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2021-04-01;2022-03-31;Conselho de Administração;7.00;6.00;696000.00;180000.00;346000.00;Foi considerado ano safra (abril/2021 a março/2022) para manter a coerência com o item 8.2.
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2021-04-01;2022-03-31;Diretoria Estatutária;4.00;4.00;1689721.42;1150231.93;1411927.16;Foi considerado ano safra (abril/2021 a março/2022) para manter a coerência com o item 8.2.
02.635.522/0001-95;2025-03-31;4;145187;JALLES MACHADO S.A.;2021-04-01;2022-03-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;
02.664.042/0001-52;2025-12-31;1;148194;TERMINAL GARAGEM MENEZES CORTES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;474953.00;225833.32;350393.16;
02.664.042/0001-52;2025-12-31;1;148194;TERMINAL GARAGEM MENEZES CORTES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;4.00;160000.00;21762.00;56321.50;
02.664.042/0001-52;2025-12-31;1;148194;TERMINAL GARAGEM MENEZES CORTES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;555550.00;338750.00;447150.00;
02.664.042/0001-52;2025-12-31;1;148194;TERMINAL GARAGEM MENEZES CORTES S.A.;2023-01-01;2023-12-31;Conselho de Administração;4.00;4.00;249900.00;24990.00;137445.00;
02.664.042/0001-52;2025-12-31;1;148194;TERMINAL GARAGEM MENEZES CORTES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;583327.00;356683.00;470005.00;
02.664.042/0001-52;2025-12-31;1;148194;TERMINAL GARAGEM MENEZES CORTES S.A.;2024-01-01;2024-12-31;Conselho de Administração;4.00;4.00;262395.00;26374.00;85379.00;
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;14.67;7.33;376832.69;376832.69;376832.69;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses.
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;10770719.22;4385962.93;8021095.42;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses.
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;6.00;3.00;223252.80;223252.80;223252.80;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses.
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;16.00;8.00;376661.40;376661.40;376661.40;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;9882405.24;3458342.18;5839408.33;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;3.00;223252.80;223252.80;223252.80;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;15.33;7.67;376402.81;376402.81;376402.81;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;9025018.64;2537001.96;5033298.46;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;6.00;3.00;223252.80;223252.80;223252.80;Remuneração: valores reconhecidos no resultado, em regime de competência. Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses.
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.67;5.67;6508114.75;670654.78;1941933.05;
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;11435860.61;2758551.81;5571983.02;
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;3.00;191577.72;191577.72;191577.72;
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;191577.72;191577.72;191577.72;O membro que recebeu a maior remuneração exerceu o cargo por 12 meses.O membro que recebeu a menor remuneração exerceu o cargo por 12 meses.Valor médio corresponde ao total de remuneração dividido pela quantidade de membros alocados em cada Órgão da Administração.
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.54;5.54;18353111.02;2021577.43;6063854.85;O membro que recebeu a maior remuneração exerceu o cargo por 12 meses.Valor mínimo apurado desconsidera a remuneração de membro que exerceu o cargo por período inferior a 12 meses.Valor médio corresponde ao total de remuneração dividido pela quantidade de membros alocados em cada Órgão da Administração.
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;7031398.06;497516.81;2044294.83;O membro que recebeu a maior remuneração exerceu o cargo por 12 meses.Valor mínimo apurado desconsidera os membros não remunerados. O membro que recebeu a menor remuneração exerceu o cargo por 12 meses.Valor médio corresponde ao total de remuneração dividido pela quantidade de membros alocados em cada Órgão da Administração.
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;5.09;1392691.38;348186.75;769285.60;Membro correspondente à maior remuneração exerceu cargo por 12 meses.Valor mínimo apurado desconsidera membros não remunerados.
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;16498435.52;1419572.52;5096834.00;Membro correspondente à maior remuneração não exerceu cargo por 12 meses.Valor mínimo apurado com a exclusão de membros do órgão pois cargo foi exercido por período inferior a 12 meses.
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.52;3.52;191624.67;63906.19;127765.43;Membro correspondente à maior remuneração exerceu cargo por 12 meses.Valor mínimo apurado com a exclusão de membros do órgão pois cargo foi exercido por período inferior a 12 meses.
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Conselho de Administração;11.00;11.00;989383.80;722983.80;792808.06;*Observação: O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.**Observação: O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.¹ Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses. 
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.75;7.75;10061396.73;4815895.08;5741156.57;*Observação: O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.**Observação: O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.¹ Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses. 
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;3.00;178567.80;178567.80;178567.80;*Observação: O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.**Observação: O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.¹ Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses. 
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2022-01-01;2022-12-31;Conselho de Administração;12.40;12.40;877184.00;616167.00;137680.00;
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;11.25;11.25;8750690.00;1731743.00;3174324.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses. O valor médio informado corresponde ao resultado da divisão do valor da remuneração total paga ao órgão no referido exercício pelo número de membros remunerados.
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;157132.00;157132.00;157132.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses.
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Conselho de Administração;11.00;11.00;994649.00;660383.00;694222.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses.
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;138311.71;138311.71;138311.71;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses. O valor médio informado corresponde ao resultado da divisão do valor da remuneração total paga ao órgão no referido exercício pelo número de membros remunerados. A divergência da informação em relação ao Conselho Fiscal em relação aos valores individuais mínimo e máximo decorre da substituição dos membros.
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.42;8.42;7493660.00;3978667.00;5119355.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros remunerados de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Para a composição da remuneração mínima, foram desconsiderados membros que exerceram suas funções por menos que 12 meses.
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;4.00;1204629.00;1204629.00;1204629.00;
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.60;2.60;4373088.00;785566.00;2579326.00;
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;Não houve instalação de Conselho Fiscal no período.
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;Não houve instalação de Conselho Fiscal no período.
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;3882677.00;697470.00;2290073.00;Os membros da Diretoria Estatutária que receberam, tanto a menor quanto a maior remuneração, permaneceram pelo menos 12 meses na Companhia.
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;2.80;4373088.00;785566.00;2579326.00;Os membros da Diretoria Estatutária que receberam, tanto a menor quanto a maior remuneração, permaneceram pelo menos 12 meses na Companhia.
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;3.00;1204629.00;1204629.00;1204629.00;Os membros do Conselho de Administração que receberam, tanto a menor quanto a maior remuneração, permaneceram pelo menos 12 meses na Companhia.
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;3.00;180000.00;180000.00;180000.00;Os membros do Conselho de Administração que receberam, tanto a menor quanto a maior remuneração, permaneceram pelo menos 12 meses na Companhia.
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;4.00;63282432.81;8691448.61;26255239.43;
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2024-01-01;2024-12-31;Conselho de Administração;11.00;10.33;2251999.99;900000.00;1452984.83;
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;4.00;423274.80;423274.80;423274.80;
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;8.57;2049800.00;1014700.00;1600678.72;
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;4.40;57616937.00;8289208.00;28153701.32;
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;4.00;467177.14;466001.38;466295.32;
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;9.00;1380000.00;660000.00;1098767.62;A remuneração média corresponde à divisão do valor total da remuneração anual deste órgão pelo número de membros remunerados informado na letra 'b' do item 8.2.
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;55940575.00;8135327.00;25205452.63;
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;4.00;4.00;434916.82;434916.82;434916.82;
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;160860.00;160860.00;160860.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 3 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;9.00;641000.00;425000.00;473000.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 3 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;5.17;12939741.77;3427690.71;5616512.76;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 3 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;9.00;696000.00;480000.00;528888.89;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 5 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;9.00;720000.00;504000.00;621333.33;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 3 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;11981745.88;3163274.37;5469243.76;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 3 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;3.00;192000.00;192000.00;192000.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 3 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;192000.00;192000.00;192000.00;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão, apurado mensalmente.O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão aos quais foram atribuídas remunerações reconhecidas no resultado do exercício, apurado mensalmente.Os valores descritos na linha indicada da tabela acima foram apurados sem qualquer exclusão de membros, considerando todas as remunerações reconhecidas no resultado da Companhia no exercício social. Os valores descritos se referem a membros que exerceram os respectivos cargos durante os 12 meses do exercício social.O cálculo dos valores descritos na linha indicada da tabela acima leva em consideração apenas membros da Administração que exerceram o cargo durante os 12 meses do exercício social (janeiro a dezembro). Na apuração do valor da menor remuneração individual, foram considerados 9 membros no Conselho de Administração e 5 membros na Diretoria Estatutária.Os valores da tabela acima não consideram encargos sociais.
