CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Bonus_Valor_Minimo;Bonus_Valor_Maximo;Bonus_Valor_Metas_Atingidas;Bonus_Valor_Efetivo;Participacao_Valor_Minimo;Participacao_Valor_Maximo;Participacao_Valor_Metas_Atingidas;Participacao_Valor_Efetivo
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2025-01-01;2025-12-31;Conselho Fiscal;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;3.00;3.00;7600000.00;13680000.00;9500000.00;0.00;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;14.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;8016000.00;13026000.00;10020000.00;8599999.97;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;16.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;4320000.00;7020000.00;5400000.00;3922695.63;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;15.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;4320000.00;7020000.00;5400000.00;3544789.14;0.00;0.00;0.00;0.00
02.762.121/0001-04;2025-12-31;2;149365;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;0.00;0.00;0.00;0.00;4692934.18;18771736.73;9385868.37;8374583.40
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.54;5.54;0.00;0.00;0.00;0.00;4405703.48;17622813.92;8811406.96;10198456.14
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;0.00;0.00;0.00;0.00;1922821.85;19228218.54;14421163.91;9614109.27
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Conselho de Administração;6.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.800.026/0001-40;2025-12-31;2;149538;COGNA EDUCAÇÃO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;0.00;0.00;0.00;0.00;4433546.90;17734187.61;8867093.81;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Conselho de Administração;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.42;8.42;0.00;3420000.00;0.00;3736824.00;0.00;18526403.00;15438666.00;15850211.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2022-01-01;2022-12-31;Conselho de Administração;12.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;11.25;11.25;0.00;0.00;0.00;2877150.00;310000.00;19642000.00;15099000.00;17997002.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Conselho de Administração;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.75;7.75;0.00;1580000.00;0.00;1618887.00;0.00;17260955.00;14384128.00;14931184.61
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2025-01-01;2025-12-31;Conselho de Administração;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.846.056/0001-97;2025-12-31;3;149511;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;7.79;7.79;0.00;2067808.00;0.00;0.00;0.00;20062176.00;16718480.00;0.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.60;2.60;1678800.00;2518200.00;2098500.00;0.00;237021.00;3447079.00;2604677.00;1072544.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;2.80;237021.00;3447079.00;2604277.00;0.00;0.00;0.00;0.00;0.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;3.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;2780256.00;1824379.00;1805021.00;0.00;0.00;0.00;0.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2025-01-01;2025-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.860.694/0001-62;2025-12-31;1;148938;T4F ENTRETENIMENTO S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;2.00;1050000.00;1500000.00;1275000.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2024-01-01;2024-12-31;Conselho de Administração;11.00;10.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;4.00;0.00;0.00;0.00;0.00;0.00;227236273.40;74600000.00;74600000.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;8.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;4.40;0.00;0.00;0.00;0.00;0.00;223867000.00;90000000.00;90000000.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;0.00;213865082.51;74500000.00;74500000.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2025-01-01;2025-12-31;Conselho de Administração;11.00;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2025-01-01;2025-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.916.265/0001-60;2025-12-31;3;149547;JBS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;4.00;0.00;0.00;0.00;0.00;0.00;183169011.47;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2024-01-01;2024-12-31;Conselho Fiscal;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;4487524.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4582328.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;971439.00;0.00;0.00;0.00;2576699.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2025-01-01;2025-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2025-01-01;2025-12-31;Conselho Fiscal;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.919.555/0001-67;2025-12-31;2;149351;ARTERIS S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;5717581.00;0.00
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;464000.00;464000.00;0.00;14539285.20;12116071.00;4817324.31
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;499310.34;499310.34;0.00;11423917.00;11423917.00;3527201.62
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;5.17;0.00;0.00;0.00;0.00;0.00;11812677.34;11812677.34;10068834.91
02.932.074/0001-91;2025-12-31;2;149648;HYPERA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;0.00;11272610.97;11272610.97;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;3119285.72;5383987.28;4618699.44;3198930.04;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2024-01-01;2024-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2023-01-01;2023-12-31;Conselho de Administração;2.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;3005653.84;5029824.76;4407037.12;4550882.40;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2022-01-01;2022-12-31;Conselho de Administração;3.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;4242640.81;5300899.40;4631115.48;4708584.03;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2025-01-01;2025-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.950.811/0001-89;2025-12-31;3;149649;PDG REALTY S.A. EMPREEND E PARTICIPACOES;2025-01-01;2025-12-31;Diretoria Estatutária;2.00;2.00;1174496.35;1174496.35;1174496.35;0.00;0.00;0.00;0.00;0.00
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2025-01-01;2025-12-31;Conselho de Administração;6.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.25;3.58;1878592.83;2817889.25;2348241.04;0.00;0.00;0.00;0.00;0.00
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2025-01-01;2025-12-31;Conselho Fiscal;6.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.08;3.08;0.00;0.00;0.00;0.00;107904.99;161857.49;134881.24;0.00
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;6.17;6.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.33;1.67;187214.52;280821.79;234018.16;1153336.40;746732.71;1120099.06;933415.89;0.00
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.92;1.50;190156.98;285235.48;237696.23;234513.88;733610.34;1100415.52;917012.93;577360.96
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;4.25;2.00;0.00;0.00;0.00;0.00;75245.18;112867.77;94056.47;103616.14
02.998.301/0001-81;2025-12-31;1;149106;RIO PARANAPANEMA ENERGIA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
02.998.611/0001-04;2025-12-31;1;148710;ISA ENERGIA BRASIL;2024-01-01;2024-12-31;Diretoria Estatutária;4.50;4.50;0.00;5502111.43;5502111.43;4273221.42;0.00;0.00;0.00;0.00
02.998.611/0001-04;2025-12-31;1;148710;ISA ENERGIA BRASIL;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.00;4447315.00;4447315.00;3823799.25;0.00;0.00;0.00;0.00
02.998.611/0001-04;2025-12-31;1;148710;ISA ENERGIA BRASIL;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.00;4220603.52;4220603.52;3374771.45;0.00;0.00;0.00;0.00
02.998.611/0001-04;2025-12-31;1;148710;ISA ENERGIA BRASIL;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.00;7302122.02;7302122.02;0.00;0.00;0.00;0.00;0.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2025-01-01;2025-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;789836.16;789836.16;0.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;4.00;4.00;0.00;0.00;0.00;0.00;0.00;8115733.52;8115733.52;0.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;796562.50;796562.50;419028.38
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;0.00;0.00;0.00;0.00;0.00;2389687.50;2389687.50;2589753.32
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;2.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;529666.96;529666.96;354122.81
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;0.00;0.00;0.00;0.00;0.00;3044152.70;3044152.70;3161251.41
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;496217.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0.00;0.00;0.00;0.00;0.00;3349749.00;0.00;3046267.00
03.014.553/0001-91;2025-12-31;2;149276;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2025-01-01;2025-12-31;Conselho de Administração;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;12.00;2.00;0.00;20925598.22;20925598.22;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2025-01-01;2025-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;9.75;2.75;0.00;10962687.19;10962687.19;13232101.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;9.67;1.00;0.00;8000000.00;8000000.00;6250000.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.58;1.00;0.00;5040000.00;5040000.00;5750000.00;0.00;0.00;0.00;0.00
03.220.438/0001-73;2025-12-31;3;149417;EQUATORIAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
03.303.999/0001-36;2025-12-31;1;149250;DTCOM - DIRECT TO COMPANY S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;0.00;400000.00;400000.00;0.00
03.303.999/0001-36;2025-12-31;1;149250;DTCOM - DIRECT TO COMPANY S.A.;2025-01-01;2025-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;0.00;500000.00;500000.00;0.00
03.303.999/0001-36;2025-12-31;1;149250;DTCOM - DIRECT TO COMPANY S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;0.00;400000.00;400000.00;0.00
03.303.999/0001-36;2025-12-31;1;149250;DTCOM - DIRECT TO COMPANY S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;0.00;400000.00;400000.00;0.00
03.342.704/0001-30;2025-12-31;1;148534;PETRORECÔNCAVO S.A.;2025-01-01;2025-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
