CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
01.938.783/0001-11;2025-12-31;1;148757;CIA PARTICIPACOES ALIANCA DA BAHIA;2025-01-01;2025-12-31;7017605.00;Conselho de Administração;5.00;2600602.00;5.00;2480400.00;120202.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2022-01-01;2022-12-31;72000.00;Conselho de Administração;3.00;72000.00;2.00;72000.00;0.00;0.00;0.00;A Companhia não possui Conselho Fiscal, Comitês Estatutários e Comitês de Auditoria, de Risco, Financeiro e de Remuneração.;0.00;0.00;0.00;0.00;0.00;Não aplicável. A remuneração de nossos administradores é composta apenas por uma parcela fixa.;0.00;0.00;0.00;
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2023-01-01;2023-12-31;63072.00;Diretoria Estatutária;2.00;15768.00;2.00;15768.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2023-01-01;2023-12-31;63072.00;Conselho de Administração;3.00;47304.00;3.00;47304.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2024-01-01;2024-12-31;63072.00;Diretoria Estatutária;2.00;15768.00;2.00;15768.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.957.772/0001-89;2025-12-31;1;149092;SUL 116 PARTICIPACOES S.A.;2024-01-01;2024-12-31;63072.00;Conselho de Administração;3.00;47304.00;3.00;47304.00;0.00;0.00;0.00;A Companhia não possui Conselho Fiscal, Comitês Estatutários e Comitês de Auditoria, de Risco, Financeiro e de Remuneração.;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2023-01-01;2023-12-31;68257.76;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2023-01-01;2023-12-31;68257.76;Diretoria Estatutária;2.00;68257.76;2.00;63400.00;4857.76;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2023-01-01;2023-12-31;68257.76;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2022-01-01;2022-12-31;28166.00;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2022-01-01;2022-12-31;28166.00;Diretoria Estatutária;2.00;28166.00;2.00;28166.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2022-01-01;2022-12-31;28166.00;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2024-01-01;2024-12-31;150658.48;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2024-01-01;2024-12-31;150658.48;Diretoria Estatutária;2.00;150658.48;2.00;130000.00;20658.48;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2024-01-01;2024-12-31;150658.48;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2025-01-01;2025-12-31;168235.29;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2025-01-01;2025-12-31;168235.29;Diretoria Estatutária;2.00;168235.29;2.00;147235.29;21000.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;O número de membros foi apurado da forma especificada no Ofício Circular/Anual-2023- CVM/SEP.
01.968.293/0001-68;2025-12-31;1;148691;ELETRORIVER S.A.;2025-01-01;2025-12-31;168235.29;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
01.989.044/0001-59;2025-12-31;1;148300;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;4000.00;Diretoria Estatutária;2.00;4000.00;2.00;4000.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2022-01-01;2022-12-31;4433000.00;Diretoria Estatutária;7.75;4317000.00;6.75;2846000.00;100000.00;0.00;0.00;;995000.00;0.00;0.00;239000.00;0.00;Refere-se a INSS e ILP. Contempla a reversão de provisão do ILP.;137000.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual-2024-CVM/SEP.
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2022-01-01;2022-12-31;4433000.00;Conselho de Administração;3.00;116000.00;1.00;116000.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual-2024-CVM/SEP.
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2023-01-01;2023-12-31;7692000.00;Conselho de Administração;3.00;165000.00;1.00;165000.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual-2024-CVM/SEP.
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2023-01-01;2023-12-31;7692000.00;Diretoria Estatutária;8.00;7527000.00;7.00;3947000.00;666000.00;0.00;0.00;Refere-se a INSS e FGTS;1747000.00;0.00;0.00;955000.00;0.00;Refere-se a ILP. Contempla a reversão de provisão do ILP.;212000.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual-2024-CVM/SEP.
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2024-01-01;2024-12-31;4833000.00;Conselho de Administração;3.00;124000.00;1.00;124000.00;0.00;0.00;0.00;Refere-se a INSS;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual-2025-CVM/SEP.
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2024-01-01;2024-12-31;4833000.00;Diretoria Estatutária;8.00;4709000.00;7.00;2739000.00;396000.00;0.00;0.00;Refere-se a INSS e FGTS;847000.00;0.00;0.00;583000.00;0.00;Refere-se a ILP. Contempla a reversão de provisão do ILP.;144000.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual-2025-CVM/SEP
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2025-01-01;2025-12-31;6745000.00;Conselho de Administração;3.00;138000.00;1.00;138000.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;
02.016.440/0001-62;2025-12-31;1;148455;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;2025-01-01;2025-12-31;6745000.00;Diretoria Estatutária;8.00;6607000.00;7.00;3286000.00;525000.00;0.00;0.00;Refere-se a INSS e FGTS;1667000.00;0.00;0.00;879000.00;0.00;Refere-se a ILP. Contempla a reversão de provisão do ILP.;250000.00;0.00;0.00;O número de membros do Conselho de Administração e da Diretoria Estatutária da Companhia foram calculados em linha com as disposições do Ofício Circular/Anual-2025-CVM/SEP
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2024-01-01;2024-12-31;3893983.11;Conselho de Administração;2.50;0.00;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2024-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2024-01-01;2024-12-31;3893983.11;Diretoria Estatutária;3.83;3893983.11;3.00;1802505.60;142006.04;0.00;0.00;-;1253086.63;0.00;0.00;480668.16;0.00;-;215716.68;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2024-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2024-01-01;2024-12-31;3893983.11;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2023-01-01;2023-12-31;6937128.33;Conselho Fiscal;1.00;49552.20;1.00;49552.20;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2023-01-01;2023-12-31;6937128.33;Diretoria Estatutária;4.50;6821506.53;4.50;2292127.97;317052.39;0.00;0.00;N/A;1139263.42;774875.56;0.00;0.00;0.00;-;2298187.19;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2023-01-01;2023-12-31;6937128.33;Conselho de Administração;1.67;66069.60;1.33;66069.60;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2022-01-01;2022-12-31;6310222.45;Conselho Fiscal;3.00;148656.60;3.00;148656.60;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2022-01-01;2022-12-31;6310222.45;Diretoria Estatutária;6.50;5891315.77;5.29;3043443.12;767044.32;0.00;0.00;N/A;0.00;1572988.23;0.00;0.00;0.00;-;507840.10;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2022-01-01;2022-12-31;6310222.45;Conselho de Administração;6.00;270250.08;6.00;270250.08;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2025-01-01;2025-12-31;4991809.54;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2025-01-01;2025-12-31;4991809.54;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.016.507/0001-69;2025-12-31;2;149141;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;2025-01-01;2025-12-31;4991809.54;Diretoria Estatutária;4.00;4991809.54;3.00;2220450.36;279192.96;0.00;0.00;;1876313.31;0.00;0.00;360501.12;0.00;0,00;255351.79;0.00;0.00;Conforme disposto no Ofício Circular/Anual-2025-CVM/SEP, o número de membros do Conselho de Administração, da Diretoria Estatutária e do Conselho Fiscal (letra "b") foram apurados de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2024-01-01;2024-12-31;22850798.00;Diretoria Estatutária;3.75;22550798.00;3.75;4830000.00;15459.00;0.00;0.00;;12258549.00;0.00;0.00;0.00;0.00;;0.00;0.00;5446790.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2024-01-01;2024-12-31;22850798.00;Conselho de Administração;10.00;300000.00;1.00;300000.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2023-01-01;2023-12-31;23631424.00;Diretoria Estatutária;3.00;23331424.00;3.00;5381167.00;58426.00;0.00;0.00;;11143738.00;0.00;0.00;0.00;0.00;;0.00;0.00;6748093.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2023-01-01;2023-12-31;23631424.00;Conselho de Administração;9.92;300000.00;1.00;300000.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2022-01-01;2022-12-31;42063542.90;Diretoria Estatutária;3.00;42051042.90;3.00;4257500.00;81786.13;0.00;0.00;;31020239.77;0.00;0.00;0.00;0.00;;0.00;0.00;6691517.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2022-01-01;2022-12-31;42063542.90;Conselho de Administração;5.75;12500.00;0.08;12500.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2025-01-01;2025-12-31;24321454.00;Diretoria Estatutária;4.00;24321454.00;4.00;5865200.00;141254.00;0.00;0.00;;12515000.00;0.00;0.00;0.00;0.00;;0.00;0.00;5800000.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.041.460/0001-93;2025-12-31;3;149545;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;2025-01-01;2025-12-31;24321454.00;Conselho de Administração;10.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros total de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2022-01-01;2022-12-31;16104666.59;Conselho de Administração;7.00;10650381.44;6.00;2509071.84;0.00;0.00;0.00;n/a;0.00;7200000.00;941309.60;0.00;0.00;n/a;0.00;0.00;0.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor deliberado na AGOE da Companhia realizada em 31.03.2022.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2022-01-01;2022-12-31;16104666.59;Conselho Fiscal;3.00;232090.53;3.00;232090.53;0.00;0.00;0.00;n/a;0.00;0.00;0.00;0.00;0.00;n/a;0.00;0.00;0.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor deliberado na AGOE da Companhia realizada em 31.03.2022.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2022-01-01;2022-12-31;16104666.59;Diretoria Estatutária;6.67;5222194.62;1.00;0.00;0.00;0.00;0.00;n/a;0.00;3655536.23;0.00;0.00;0.00;n/a;0.00;0.00;1566658.39;1. Não foram informados valores relativos aos benefícios pós- emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor da remuneração baseada em ações indica apenas o valor da projeção da remuneração variável que será convertido em ações de acordo com a cotação da época da transferência das ações, nos termos do Plano 2018.3. O valor total da remuneração está alinhado com o valor deliberado na AGOE da Companhia realizada em 31.03.2022.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2023-01-01;2023-12-31;23011259.22;Conselho Fiscal;0.75;59801.94;0.75;59801.94;0.00;0.00;0.00;n/a;0.00;0.00;0.00;0.00;0.00;n/a;0.00;0.00;0.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O Conselho Fiscal foi instalado na AGOE de 31.03.2022 e não foi instalado na AGOE de 31.03.2023, portanto, o número de membros.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2023-01-01;2023-12-31;23011259.22;Diretoria Estatutária;6.92;5162234.52;1.00;0.00;0.00;0.00;0.00;n/a;0.00;5162234.52;0.00;0.00;0.00;n/a;0.00;0.00;0.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor proposto pela administração para o exercício de 2025, a ser deliberado na AGOE da Companhia a se realizar em 31.03.2023.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2023-01-01;2023-12-31;23011259.22;Conselho de Administração;7.00;17789222.76;6.00;2780914.84;0.00;0.00;0.00;n/a;0.00;14196144.92;812163.00;0.00;0.00;n/a;0.00;0.00;0.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor proposto pela administração para o exercício de 2025, a ser deliberado na AGOE da Companhia a se realizar em 31.03.2023.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2024-01-01;2024-12-31;25961819.55;Diretoria Estatutária;8.00;5794200.27;1.00;0.00;0.00;0.00;0.00;n/a;0.00;4055940.19;0.00;0.00;0.00;n/a;0.00;0.00;1738260.08;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor proposto pela administração para o exercício de 2025, a ser deliberado na AGOE da Companhia a se realizar em 28.03.2024.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2024-01-01;2024-12-31;25961819.55;Conselho de Administração;7.00;20167619.28;6.00;2657859.84;0.00;0.00;0.00;n/a;0.00;16426856.44;1082903.00;0.00;0.00;n/a;0.00;0.00;0.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor proposto pela administração para o exercício de 2025, a ser deliberado na AGOE da Companhia a se realizar em 28.03.2024.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2025-01-01;2025-12-31;31594833.84;Diretoria Estatutária;8.00;7500000.00;1.00;0.00;0.00;0.00;0.00;n/a;0.00;5250000.00;0.00;0.00;0.00;n/a;0.00;0.00;2250000.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor proposto pela administração para o exercício de 2025, a ser deliberado na AGO da Companhia a se realizar em 28.03.2025.
02.149.205/0001-69;2025-12-31;1;148652;PORTO SEGURO S.A.;2025-01-01;2025-12-31;31594833.84;Conselho de Administração;7.00;24094833.84;6.00;2657859.84;0.00;0.00;0.00;n/a;0.00;19800000.00;1636974.00;0.00;0.00;n/a;0.00;0.00;0.00;1. Não foram informados valores relativos aos benefícios pós-emprego uma vez que não há planos de previdência privada complementar suportados diretamente pela Companhia.2. O valor total da remuneração está alinhado com o valor proposto pela administração para o exercício de 2025, a ser deliberado na AGO da Companhia a se realizar em 28.03.2025.
02.193.750/0001-52;2025-12-31;1;148756;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;2667864.98;Conselho Fiscal;3.00;99602.28;3.00;99602.28;0.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no OFÍCIO-CIRCULAR/ANUAL-2023-CVM/SEP, o número de membros foi apurado de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.193.750/0001-52;2025-12-31;1;148756;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;2667864.98;Diretoria Estatutária;2.00;1599463.70;2.00;185400.00;44404.32;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;1369659.38;Conforme disposto no OFÍCIO-CIRCULAR/ANUAL-2023-CVM/SEP, o número de membros foi apurado de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais
02.193.750/0001-52;2025-12-31;1;148756;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;2667864.98;Conselho de Administração;5.00;968799.00;5.00;908839.32;59959.68;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no OFÍCIO-CIRCULAR/ANUAL-2023-CVM/SEP, o número de membros foi apurado de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais
02.193.750/0001-52;2025-12-31;1;148756;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;3281313.22;Conselho Fiscal;3.67;121643.85;3.67;121643.85;0.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;Conforme disposto no OFÍCIO-CIRCULAR/ANUAL-2023-CVM/SEP, o número de membros foi apurado de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais.
02.193.750/0001-52;2025-12-31;1;148756;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;3281313.22;Diretoria Estatutária;2.00;2250717.89;2.00;196394.27;47512.64;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;2006810.98;Conforme disposto no OFÍCIO-CIRCULAR/ANUAL-2023-CVM/SEP, o número de membros foi apurado de acordo com a média anual do número de membros de cada órgão apurado mensalmente, com duas casas decimais
